# step monitor started 00:28:44 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_vnolim_esrev0_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   exp/s
# step monitor started 00:36:06 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_vnolim_esrev0_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   TOT%   exp/s
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  4200  4116.48  734.48ms     1.49s  0.00%   0.0%   0.00%   0.0%  0.00%   38314
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  4400  4166.09     1.63s     2.60s  0.00%   0.0%   0.00%   0.0%  0.00%   41837
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  4600  4153.16     2.18s     3.78s  0.00%   0.0%   0.00%   0.0%  0.00%   39471
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  4800  3976.12     3.13s     5.11s  0.00%   0.0%   0.00%   0.0%  0.00%   46511
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  5000  3628.01     5.44s     8.31s  0.00%   0.0%   0.00%   0.0%  0.00%   29809
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  5200  3738.02     5.37s     8.32s  0.00%   0.0%   0.00%   0.0%  0.00%   37244
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  5400  3633.10     5.89s     9.50s  0.00%   0.0%   0.00%   0.0%  0.00%   37802
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  5600  3608.71     6.65s    10.08s  0.00%   0.0%   0.00%   0.0%  0.00%   36733
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  5800  3449.37     7.70s    11.78s  0.00%   0.0%   0.00%   0.0%  0.00%   42159
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  6000  3359.80     8.56s    12.76s  0.00%   0.0%   0.00%   0.0%  0.00%   34567
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  2000  1989.98   11.41ms   35.94ms  0.00%   0.0%   0.00%   0.0%  0.00%   37187
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  2200  2190.50   19.08ms   54.49ms  0.00%   0.0%   0.00%   0.0%  0.00%   40872
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  2400  2370.20   21.54ms   55.42ms  0.00%   0.0%   0.00%   0.0%  0.00%   43045
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  2600  2573.15   29.95ms   90.56ms  0.00%   0.0%   0.00%   0.0%  0.00%   47953
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  2800  2791.99   24.66ms   81.28ms  0.00%   0.0%   0.00%   0.0%  0.00%   50653
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  3000  2945.97   28.38ms   86.27ms  0.00%   0.0%   0.00%   0.0%  0.00%   53563
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  3200  3145.88  122.44ms  432.38ms  0.00%   0.0%   0.00%   0.0%  0.00%   58760
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  3400  3348.06   50.82ms  186.11ms  0.00%   0.0%   0.00%   0.0%  0.00%   62387
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  3600  3555.76   59.98ms  155.90ms  0.00%   0.0%   0.00%   0.0%  0.00%   64037
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  3800  3766.59  122.12ms  306.43ms  0.00%   0.0%   0.00%   0.0%  0.00%   47123
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  4000  3888.20  358.43ms  960.00ms  0.00%   0.0%   0.00%   0.0%  0.00%   29974
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  4200  4125.83  731.91ms     1.52s  0.00%   0.0%   0.00%   0.0%  0.00%   44592
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  4400  4180.07     1.54s     2.48s  0.00%   0.0%   0.00%   0.0%  0.00%   39420
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  4600  4104.50     2.43s     3.79s  0.00%   0.0%   0.00%   0.0%  0.00%   32716
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  4800  3988.76     3.22s     5.15s  0.00%   0.0%   0.00%   0.0%  0.00%   37738
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to5k_step30s_r1_2026-06-16_014136  5000  3662.31     5.76s     8.25s  0.00%   0.0%   0.00%   0.0%  0.00%   38425
# step monitor idle-exit 02:38:02 (60 steps logged)
